Year, DOY, Month, DOM, Time, ExFlow, GM, InFlow, HV, Spare, LLD, ULD, TankP, Temp, AirT, RelHum, Press, Batt, Comments, Flag
2023, 274,10,1, 00:00, 80.01, 0.0, -13.84, -712.7,, 10227, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 00:30, 80.01, 0.0, -13.84, -712.7,, 10837, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 01:00, 80.01, 0.0, -13.84, -712.7,, 11312, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 01:30, 80.01, 0.0, -13.84, -712.7,, 11975, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 02:00, 80.01, 0.0, -13.84, -712.7,, 12487, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 02:30, 80.01, 0.0, -13.84, -712.7,, 13009, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 03:00, 80.01, 0.0, -13.84, -712.7,, 13536, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 03:30, 80.01, 0.0, -13.84, -712.7,, 13936, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 04:00, 80.01, 0.0, -13.84, -712.7,, 14244, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 04:30, 80.01, 0.0, -13.84, -712.7,, 14586, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 05:00, 80.01, 0.0, -13.84, -712.7,, 14466, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 05:30, 80.01, 0.0, -13.84, -712.7,, 14829, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 06:00, 80.01, 0.0, -13.84, -712.7,, 14914, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 06:30, 80.01, 0.0, -13.84, -712.7,, 14932, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 07:00, 80.01, 0.0, -13.84, -712.7,, 14896, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 07:30, 80.01, 0.0, -13.84, -712.7,, 14734, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 08:00, 80.01, 0.0, -13.84, -712.7,, 14526, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 08:30, 80.01, 0.0, -13.84, -712.7,, 13895, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 09:00, 80.01, 0.0, -13.84, -712.7,, 13442, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 09:30, 80.01, 0.0, -13.84, -712.7,, 12941, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 10:00, 80.01, 0.0, -13.84, -712.7,, 12278, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 10:30, 80.01, 0.0, -13.84, -712.7,, 12006, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 11:00, 80.01, 0.0, -13.84, -712.7,, 11378, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 11:30, 80.01, 0.0, -13.84, -712.7,, 10583, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 12:00, 80.01, 0.0, -13.84, -712.7,, 9945, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 12:30, 80.01, 0.0, -13.84, -712.7,, 9465, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 13:00, 80.01, 0.0, -13.84, -712.7,, 8761, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 13:30, 80.01, 0.0, -13.84, -712.7,, 8055, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 14:00, 80.01, 0.0, -13.84, -712.7,, 7320, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 14:30, 80.01, 0.0, -13.84, -712.7,, 6851, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 15:00, 80.01, 0.0, -13.84, -712.7,, 6337, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 15:30, 80.01, 0.0, -13.84, -712.7,, 6093, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 16:00, 80.01, 0.0, -13.84, -712.7,, 5793, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 16:30, 80.01, 0.0, -13.84, -712.7,, 5363, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 17:00, 80.01, 0.0, -13.84, -712.7,, 5287, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 17:30, 80.01, 0.0, -13.84, -712.7,, 4972, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 18:00, 80.01, 0.0, -13.84, -712.7,, 4979, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 18:30, 80.01, 0.0, -13.84, -712.7,, 5116, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
2023, 274,10,1, 19:00, 80.01, 0.0, -13.84, -712.7,, 5174, 0, -558.7, 21.26, -168.9, 34.86, 419.6658020019531, 15.24,, 0
